ID	Journal	Year	books	articles	references
"AJPS.1990.01"	"AJPS"	1990.0	25.0	25.0	52.0
"AJPS.1990.02"	"AJPS"	1990.0	35.0	14.0	64.0
"AJPS.1990.03"	"AJPS"	1990.0	44.0	53.0	99.0
"AJPS.1990.04"	"AJPS"	1990.0	34.0	24.0	60.0
"AJPS.1990.05"	"AJPS"	1990.0	6.0	9.0	18.0
"AJPS.1990.06"	"AJPS"	1990.0	4.0	6.0	11.0
"AJPS.1990.07"	"AJPS"	1990.0	20.0	35.0	59.0
"AJPS.1990.08"	"AJPS"	1990.0	18.0	7.0	26.0
"AJPS.1990.09"	"AJPS"	1990.0	21.0	32.0	54.0
"AJPS.1990.10"	"AJPS"	1990.0	8.0	13.0	24.0
"AJPS.1995.01"	"AJPS"	1995.0	45.0	34.0	87.0
"AJPS.1995.02"	"AJPS"	1995.0	8.0	15.0	23.0
"AJPS.1995.03"	"AJPS"	1995.0	32.0	40.0	78.0
"AJPS.1995.04"	"AJPS"	1995.0	23.0	25.0	50.0
"AJPS.1995.05"	"AJPS"	1995.0	16.0	7.0	27.0
"AJPS.1995.06"	"AJPS"	1995.0	19.0	13.0	36.0
"AJPS.1995.07"	"AJPS"	1995.0	23.0	16.0	40.0
"AJPS.1995.08"	"AJPS"	1995.0	13.0	31.0	50.0
"AJPS.1995.09"	"AJPS"	1995.0	23.0	21.0	47.0
"AJPS.1995.10"	"AJPS"	1995.0	23.0	22.0	45.0
"AJPS.2000.01"	"AJPS"	2000.0	21.0	9.0	34.0
"AJPS.2000.02"	"AJPS"	2000.0	18.0	26.0	46.0
"AJPS.2000.03"	"AJPS"	2000.0	25.0	15.0	40.0
"AJPS.2000.04"	"AJPS"	2000.0	10.0	33.0	43.0
"AJPS.2000.05"	"AJPS"	2000.0	13.0	5.0	18.0
"AJPS.2000.06"	"AJPS"	2000.0	5.0	11.0	16.0
"AJPS.2000.07"	"AJPS"	2000.0	24.0	23.0	52.0
"AJPS.2000.08"	"AJPS"	2000.0	15.0	9.0	28.0
"AJPS.2000.09"	"AJPS"	2000.0	12.0	34.0	46.0
"AJPS.2000.10"	"AJPS"	2000.0	46.0	17.0	64.0
"AJPS.2005.01"	"AJPS"	2005.0	18.0	33.0	55.0
"AJPS.2005.02"	"AJPS"	2005.0	16.0	16.0	34.0
"AJPS.2005.03"	"AJPS"	2005.0	16.0	38.0	57.0
"AJPS.2005.04"	"AJPS"	2005.0	9.0	33.0	43.0
"AJPS.2005.05"	"AJPS"	2005.0	13.0	5.0	18.0
"AJPS.2005.06"	"AJPS"	2005.0	5.0	11.0	16.0
"AJPS.2005.07"	"AJPS"	2005.0	23.0	22.0	49.0
"AJPS.2005.08"	"AJPS"	2005.0	15.0	9.0	28.0
"AJPS.2005.09"	"AJPS"	2005.0	13.0	33.0	46.0
"AJPS.2005.10"	"AJPS"	2005.0	46.0	18.0	64.0
"AJPS.2010.01"	"AJPS"	2010.0	25.0	35.0	63.0
"AJPS.2010.02"	"AJPS"	2010.0	26.0	33.0	60.0
"AJPS.2010.03"	"AJPS"	2010.0	25.0	22.0	49.0
"AJPS.2010.04"	"AJPS"	2010.0	40.0	5.0	45.0
"AJPS.2010.05"	"AJPS"	2010.0	9.0	29.0	39.0
"AJPS.2010.06"	"AJPS"	2010.0	6.0	20.0	29.0
"AJPS.2010.07"	"AJPS"	2010.0	14.0	19.0	37.0
"AJPS.2010.08"	"AJPS"	2010.0	22.0	57.0	94.0
"AJPS.2010.09"	"AJPS"	2010.0	11.0	11.0	22.0
"AJPS.2010.10"	"AJPS"	2010.0	7.0	34.0	42.0
"AJPS.2015.01"	"AJPS"	2015.0	21.0	37.0	78.0
"AJPS.2015.02"	"AJPS"	2015.0	40.0	55.0	96.0
"AJPS.2015.03"	"AJPS"	2015.0	17.0	39.0	57.0
"AJPS.2015.04"	"AJPS"	2015.0	6.0	32.0	41.0
"AJPS.2015.05"	"AJPS"	2015.0	17.0	20.0	47.0
"AJPS.2015.06"	"AJPS"	2015.0	6.0	26.0	33.0
"AJPS.2015.07"	"AJPS"	2015.0	12.0	46.0	60.0
"AJPS.2015.08"	"AJPS"	2015.0	18.0	22.0	47.0
"AJPS.2015.09"	"AJPS"	2015.0	20.0	34.0	57.0
"AJPS.2015.10"	"AJPS"	2015.0	17.0	46.0	67.0
"AJPS.2020.01"	"AJPS"	2020.0	15.0	34.0	56.0
"AJPS.2020.02"	"AJPS"	2020.0	4.0	33.0	40.0
"AJPS.2020.03"	"AJPS"	2020.0	22.0	27.0	49.0
"AJPS.2020.04"	"AJPS"	2020.0	21.0	30.0	52.0
"AJPS.2020.05"	"AJPS"	2020.0	23.0	36.0	64.0
"AJPS.2020.06"	"AJPS"	2020.0	7.0	15.0	22.0
"AJPS.2020.07"	"AJPS"	2020.0	4.0	45.0	49.0
"AJPS.2020.08"	"AJPS"	2020.0	16.0	49.0	69.0
"AJPS.2020.09"	"AJPS"	2020.0	13.0	45.0	59.0
"AJPS.2020.10"	"AJPS"	2020.0	15.0	53.0	69.0
"AJPS.2024.01"	"AJPS"	2024.0	24.0	35.0	59.0
"AJPS.2024.02"	"AJPS"	2024.0	26.0	34.0	68.0
"AJPS.2024.03"	"AJPS"	2024.0	25.0	46.0	84.0
"AJPS.2024.04"	"AJPS"	2024.0	11.0	28.0	42.0
"AJPS.2024.05"	"AJPS"	2024.0	11.0	72.0	86.0
"AJPS.2024.06"	"AJPS"	2024.0	39.0	29.0	70.0
"AJPS.2024.07"	"AJPS"	2024.0	13.0	64.0	81.0
"AJPS.2024.08"	"AJPS"	2024.0	3.0	48.0	55.0
"AJPS.2024.09"	"AJPS"	2024.0	23.0	22.0	47.0
"AJPS.2024.10"	"AJPS"	2024.0	2.0	27.0	39.0
"APSR.1990.01"	"APSR"	1990.0	27.0	21.0	53.0
"APSR.1990.02"	"APSR"	1990.0	15.0	31.0	46.0
"APSR.1990.03"	"APSR"	1990.0	19.0	12.0	33.0
"APSR.1990.04"	"APSR"	1990.0	19.0	4.0	23.0
"APSR.1990.05"	"APSR"	1990.0	21.0	14.0	36.0
"APSR.1990.06"	"APSR"	1990.0	20.0	8.0	31.0
"APSR.1990.07"	"APSR"	1990.0	139.0	65.0	213.0
"APSR.1990.08"	"APSR"	1990.0	13.0	23.0	36.0
"APSR.1990.09"	"APSR"	1990.0	28.0	40.0	69.0
"APSR.1990.10"	"APSR"	1990.0	34.0	27.0	62.0
"APSR.1995.01"	"APSR"	1995.0	14.0	3.0	17.0
"APSR.1995.02"	"APSR"	1995.0	13.0	17.0	31.0
"APSR.1995.03"	"APSR"	1995.0	30.0	23.0	54.0
"APSR.1995.04"	"APSR"	1995.0	14.0	19.0	33.0
"APSR.1995.05"	"APSR"	1995.0	17.0	21.0	40.0
"APSR.1995.06"	"APSR"	1995.0	13.0	3.0	19.0
"APSR.1995.07"	"APSR"	1995.0	25.0	4.0	29.0
"APSR.1995.08"	"APSR"	1995.0	29.0	20.0	49.0
"APSR.1995.09"	"APSR"	1995.0	18.0	15.0	33.0
"APSR.1995.10"	"APSR"	1995.0	29.0	24.0	54.0
"APSR.2000.01"	"APSR"	2000.0	31.0	36.0	71.0
